Sleeper_Player_ID,Player,Position,Team,NFL Team,Age,Rookie_Year,Rookie,Sophomore,Rostered,Proj_1yr,Proj_3yr,Proj_5yr,Proj_Career,Tier,BreakoutProb,BreakoutFlag,Draft_Round,Overall_Pick,Expected_Proj_Career
3225,Tyler Boyd,WR,FA,FA,30,2016,0,0,0,87.9,117.2,126.8,107.5,Flex,62.793,False,,,
12549,Jordan Petaia,TE,FA,LAC,25,0,1,0,0,0.0,0.0,0.0,0.0,Bench,18.026,True,,,
5121,Braxton Berrios,WR,FA,HOU,29,2018,0,0,0,10.0,32.8,43.8,30.6,Bench,52.594,False,,,
8147,John Metchie,WR,FA,HOU,24,2022,0,0,0,50.7,44.8,45.8,34.3,Bench,42.834,True,2.0,44.0,
11592,Erick All,TE,FA,CIN,24,2024,0,1,0,32.4,32.4,32.5,25.0,Bench,17.131,False,4.0,115.0,
7496,Nick Westbrook-Ikhine,WR,FA,MIA,28,2020,0,0,0,134.8,116.8,112.1,113.8,Flex,60.344,True,,,
3634,Kalif Raymond,WR,FA,DET,30,2016,0,0,0,45.4,65.5,66.7,30.3,Bench,62.793,False,,,
5773,KhaDarel Hodge,WR,FA,ATL,30,2018,0,0,0,28.3,33.1,32.5,30.3,Bench,62.793,False,,,
4574,Cooper Rush,QB,FA,BAL,31,2017,0,0,0,120.2,72.5,62.2,33.4,Bench,39.707,False,,,
9998,Hendon Hooker,QB,FA,DET,27,2023,0,0,0,16.2,15.8,15.3,36.6,Bench,36.679,True,3.0,68.0,
8500,John FitzPatrick,TE,FA,GB,25,2022,0,0,0,8.6,9.3,9.5,26.3,Bench,18.026,True,6.0,213.0,
4037,Chris Godwin,WR,nilmaven,TB,29,2017,0,0,1,147.7,177.6,183.7,172.2,C,52.594,False,,,
11606,Dallin Holker,TE,FA,NO,25,2024,0,1,0,11.5,11.9,12.1,26.3,Bench,18.026,True,,,
5137,Richie James,WR,FA,FA,29,2018,0,0,0,23.6,57.0,50.8,30.6,Bench,52.594,False,,,
12753,Jamoi Mayes,WR,FA,CIN,22,0,1,0,0,0.0,0.0,0.0,0.0,Bench,50.085,False,,,
5013,Anthony Miller,WR,FA,BAL,30,2018,0,0,0,11.8,31.0,44.8,30.3,Bench,62.793,False,,,
5906,Dawson Knox,TE,Haxen2000,BUF,28,2019,0,0,1,51.3,64.5,73.7,26.3,Bench,23.525,True,,,
7812,Simi Fehoko,WR,FA,ARI,27,2021,0,0,0,22.7,19.3,18.5,35.0,Bench,53.362,True,,,
7066,K.J. Osborn,WR,FA,WAS,28,2020,0,0,0,24.3,73.5,76.3,32.9,Bench,60.344,True,,,
260,Josh Johnson,QB,FA,WAS,39,2008,0,0,0,11.0,18.3,21.3,25.9,Bench,43.172,False,,,
2711,Taylor Heinicke,QB,FA,LAC,32,2015,0,0,0,12.2,57.0,74.7,33.3,Bench,43.824,False,,,
6857,Collin Johnson,WR,FA,LV,27,2020,0,0,0,11.6,15.5,21.3,35.0,Bench,53.362,True,,,
1837,Jimmy Garoppolo,QB,FA,LAR,33,2014,0,0,0,29.3,76.4,95.4,33.4,Bench,30.161,False,,,
10220,Will Mallory,TE,FA,IND,25,2023,0,0,0,12.8,23.5,24.0,26.3,Bench,18.026,True,5.0,162.0,
8205,Isiah Pacheco,RB,ShrynoRyno,KC,26,2022,0,0,1,83.5,138.5,141.1,140.0,Flex,33.964,True,7.0,251.0,
1166,Kirk Cousins,QB,Bakari2,ATL,36,2012,0,0,1,285.2,297.4,319.7,348.3,C,24.873,False,,,
5185,Allen Lazard,WR,FA,NYJ,29,2018,0,0,0,121.5,113.5,114.5,108.0,Flex,52.594,False,,,
8110,Jake Ferguson,TE,samreilly,DAL,26,2022,0,0,1,84.5,95.9,97.7,26.3,Bench,20.453,True,4.0,129.0,
7842,Luke Farrell,TE,FA,SF,27,2021,0,0,0,21.6,22.9,22.6,26.2,Bench,21.036,True,,,
11046,Colton Dowell,WR,FA,TEN,26,2023,0,0,0,11.3,11.7,12.0,33.9,Bench,50.256,True,7.0,228.0,
4082,Curtis Samuel,WR,FA,BUF,28,2017,0,0,0,81.9,126.5,124.4,113.8,Flex,60.344,True,,,
1049,Ryan Tannehill,QB,FA,FA,36,2012,0,0,0,148.5,213.4,242.3,244.2,Flex,24.873,False,,,
1339,Zach Ertz,TE,jrroblestn,WAS,34,2013,0,0,1,152.0,112.3,113.7,100.0,Flex,13.129,False,,,
11589,Trey Benson,RB,jrroblestn,ARI,22,2024,0,1,1,45.3,44.1,43.1,29.1,Bench,41.564,False,3.0,66.0,
10867,Jake Bobo,WR,FA,SEA,26,2023,0,0,0,32.2,42.0,42.8,33.9,Bench,50.256,True,,,
8131,Isaiah Likely,TE,samreilly,BAL,25,2022,0,0,1,125.9,115.3,115.3,132.3,C,18.026,False,4.0,139.0,
4046,Patrick Mahomes,QB,ShrynoRyno,KC,29,2017,0,0,1,388.4,417.4,428.5,400.7,B,30.581,False,,,
3286,Demarcus Robinson,WR,sportzballz,SF,30,2016,0,0,1,119.5,107.7,104.2,107.5,Flex,62.793,False,,,
11608,Isaiah Williams,WR,FA,CIN,24,2024,0,1,0,11.9,12.4,12.8,34.3,Bench,42.834,True,,,
12524,Shedeur Sanders,QB,FA,CLE,23,0,1,0,0,231.6,229.7,228.4,230.6,Flex,51.128,False,5.0,144.0,230.2
6171,Cody Thompson,WR,FA,TB,29,2019,0,0,0,10.0,8.9,8.8,25.0,Bench,52.594,False,,,
7564,Ja'Marr Chase,WR,samreilly,CIN,25,2021,0,0,1,362.4,304.4,302.8,267.0,A,45.305,False,,,
8174,Kevin Harris,RB,FA,FA,24,2022,0,0,0,26.2,22.7,22.5,28.8,Bench,37.144,True,6.0,183.0,
8177,Grant Calcaterra,TE,FA,PHI,26,2022,0,0,0,51.8,32.3,33.0,26.3,Bench,20.453,True,6.0,198.0,
7746,Austin Trammell,WR,FA,JAX,26,2021,0,0,0,13.3,13.9,13.7,33.9,Bench,50.256,True,,,
7587,Dyami Brown,WR,FA,JAX,25,2021,0,0,0,59.7,47.6,46.4,34.2,Bench,45.305,True,,,
8117,Jalen Tolbert,WR,FA,DAL,26,2022,0,0,0,122.1,77.2,78.6,33.9,Bench,50.256,True,3.0,88.0,
6797,Justin Herbert,QB,nilmaven,LAC,27,2020,0,0,1,361.3,349.0,368.6,332.3,C,36.679,False,,,
13041,Jahmal Banks,WR,FA,BAL,23,0,1,0,0,0.0,0.0,0.0,0.0,Bench,44.413,False,,,
6801,Tee Higgins,WR,boxerschwartz,CIN,26,2020,0,0,1,215.1,195.0,196.9,193.6,B,50.256,False,,,
10859,Sam LaPorta,TE,NevadaLou,DET,24,2023,0,0,1,189.5,208.9,208.8,223.4,A,17.131,False,2.0,34.0,
12792,Garrett Greene,QB,FA,TB,23,0,1,0,0,0.0,0.0,0.0,0.0,Bench,51.128,False,,,
12546,Marcus Yarns,RB,FA,NO,23,0,1,0,0,0.0,0.0,0.0,0.0,Bench,40.482,True,,,
11633,Jamari Thrash,WR,FA,CLE,24,2024,0,1,0,13.8,14.4,14.8,34.3,Bench,42.834,True,5.0,156.0,
3433,Alex Erickson,WR,FA,FA,32,2016,0,0,0,9.8,17.1,16.8,24.0,Bench,73.352,False,,,
12868,Montrell Johnson,RB,FA,PHI,22,0,1,0,0,0.0,0.0,0.0,0.0,Bench,41.564,False,,,
4111,D'Onta Foreman,RB,FA,FA,29,2017,0,0,0,30.1,59.2,57.7,28.9,Bench,45.609,False,,,
6386,Alex Bachman,WR,FA,LV,29,2019,0,0,0,14.3,10.0,10.0,25.0,Bench,52.594,False,,,
4443,Pharaoh Brown,TE,FA,MIA,31,2017,0,0,0,16.3,20.4,22.4,18.9,Bench,27.811,False,,,
8414,Britain Covey,WR,FA,LAR,28,2022,0,0,0,18.2,16.4,16.6,35.1,Bench,60.344,True,,,
8523,Nick Muse,TE,FA,PHI,26,2022,0,0,0,7.8,8.9,9.1,26.3,Bench,20.453,True,7.0,227.0,
9501,DeMario Douglas,WR,Haxen2000,NE,24,2023,0,0,1,35.2,36.2,36.9,115.5,Flex,42.834,True,,,
8180,Jalen Nailor,WR,FA,MIN,26,2022,0,0,0,86.1,52.4,53.4,33.9,Bench,50.256,True,6.0,191.0,
1737,Case Keenum,QB,FA,CHI,37,2012,0,0,0,22.0,18.5,24.7,24.9,Bench,42.228,False,,,
12519,Luther Burden,WR,FA,CHI,21,0,1,0,0,110.2,110.8,111.2,111.0,Flex,73.692,False,2.0,39.0,107.1
9486,Dontayvion Wicks,WR,FA,GB,24,2023,0,0,0,116.4,122.8,125.1,115.5,Flex,42.834,True,5.0,159.0,
1346,Marquise Goodwin,WR,FA,FA,34,2013,0,0,0,19.2,43.4,44.5,28.7,Bench,75.519,False,,,
13199,Montorie Foster,WR,FA,SEA,23,0,1,0,0,0.0,0.0,0.0,0.0,Bench,44.413,False,,,
12455,Brashard Smith,RB,FA,KC,22,0,1,0,0,102.9,103.6,104.1,102.9,Flex,41.564,False,7.0,228.0,102.7
4881,Lamar Jackson,QB,MLeitheiser,BAL,28,2018,0,0,1,509.2,437.6,423.5,399.5,B,40.053,False,,,
11618,Jalen McMillan,WR,Haxen2000,TB,23,2024,0,1,1,139.8,139.8,139.7,150.7,C,44.413,False,3.0,92.0,
4219,Jeremy McNichols,RB,FA,WAS,29,2017,0,0,0,51.9,38.7,36.2,28.9,Bench,45.609,False,,,
10983,Sean Clifford,QB,FA,GB,26,2023,0,0,0,16.1,15.5,14.9,38.1,Bench,37.266,True,5.0,149.0,
2133,Davante Adams,WR,MLeitheiser,LAR,32,2014,0,0,1,249.1,269.7,281.5,268.3,A,73.352,False,,,
96,Aaron Rodgers,QB,NevadaLou,FA,41,2005,0,0,1,265.4,177.3,213.7,100.0,Bench,82.3,False,,,
5872,Deebo Samuel,WR,sportzballz,WAS,29,2019,0,0,1,166.3,189.3,195.7,192.0,B,52.594,False,,,
