Team,Sleeper_Player_ID,Roster_ID,Notes
NevadaLou,11619,9,Rostered
NevadaLou,11631,9,Rostered
NevadaLou,11834,9,Rostered
NevadaLou,1426,9,Rostered
NevadaLou,1479,9,Rostered
NevadaLou,2028,9,Rostered
NevadaLou,3198,9,Rostered
NevadaLou,4199,9,Rostered
NevadaLou,4663,9,Rostered
NevadaLou,4892,9,Rostered
NevadaLou,4993,9,Rostered
NevadaLou,5096,9,Rostered
NevadaLou,5133,9,Rostered
NevadaLou,5857,9,Rostered
NevadaLou,5987,9,Rostered
NevadaLou,8146,9,Rostered
NevadaLou,8210,9,Rostered
NevadaLou,9221,9,Rostered
NevadaLou,9511,9,Rostered
NevadaLou,96,9,Rostered
Haxen2000,10236,10,Rostered
Haxen2000,10857,10,Rostered
Haxen2000,11584,10,Rostered
Haxen2000,11618,10,Rostered
Haxen2000,11625,10,Rostered
Haxen2000,11630,10,Rostered
Haxen2000,11640,10,Rostered
Haxen2000,1234,10,Rostered
Haxen2000,2216,10,Rostered
Haxen2000,2309,10,Rostered
Haxen2000,3214,10,Rostered
Haxen2000,4068,10,Rostered
Haxen2000,4984,10,Rostered
Haxen2000,5001,10,Rostered
Haxen2000,5248,10,Rostered
Haxen2000,5850,10,Rostered
Haxen2000,5906,10,Rostered
Haxen2000,5937,10,Rostered
Haxen2000,5967,10,Rostered
Haxen2000,7525,10,Rostered
Haxen2000,8137,10,Rostered
Haxen2000,8148,10,Rostered
Haxen2000,8228,10,Rostered
Haxen2000,9501,10,Rostered
Haxen2000,9999,10,Rostered
