Age,Tier,Avg_Fantasy_Pts,Position
39,Top 30,309.5000027939677,QB
40,Bench,37.212500345893204,QB
40,Top 30,312.5500022135675,QB
40,Top 5,413.650003451854,QB
41,Bench,82.30000095069408,QB
41,Top 20,378.20000318437815,QB
41,Top 30,292.9000021889806,QB
42,Top 20,360.2500030733645,QB
43,Top 10,476.2500034607947,QB
44,Top 5,525.900004081428,QB
45,Top 20,377.6000034958124,QB
20,Bench,85.20000071823597,RB
21,Bench,52.7343755166512,RB
21,Top 10,242.10000187903643,RB
21,Top 20,213.0166684600214,RB
21,Top 30,157.47500139661133,RB
21,Top 5,293.10000252723694,RB
22,Bench,41.564157005825855,RB
22,Top 10,244.18182031403887,RB
22,Top 20,200.21000172570348,RB
22,Top 30,158.25384762825874,RB
22,Top 5,349.40000287975585,RB
23,Bench,40.48178730147196,RB
23,Top 10,250.433335489283,RB
23,Top 20,201.27631756761357,RB
23,Top 30,163.453334843119,RB
23,Top 5,338.8777804730667,RB
24,Bench,37.143617343089595,RB
24,Top 10,254.93000214025378,RB
24,Top 20,213.81944632095596,RB
24,Top 30,167.6931049076134,RB
24,Top 5,315.73333604509634,RB
25,Bench,38.67777811872219,RB
25,Top 10,247.22143071623785,RB
25,Top 20,202.33889068373375,RB
25,Top 30,164.47272872586143,RB
25,Top 5,315.8666692922513,RB
26,Bench,33.96392722342793,RB
26,Top 10,225.95000199849406,RB
26,Top 20,207.29130621351626,RB
26,Top 30,164.38095374973048,RB
26,Top 5,300.16666924705106,RB
27,Bench,42.50494540797976,RB
27,Top 10,234.957144868161,RB
27,Top 20,202.08750175715736,RB
27,Top 30,175.1350015308708,RB
27,Top 5,343.0571457466909,RB
28,Bench,47.42460357403708,RB
28,Top 10,254.5200020968914,RB
28,Top 20,208.06000189433496,RB
28,Top 30,176.55000145857534,RB
28,Top 5,302.3583359190573,RB
29,Bench,45.60947406833109,RB
29,Top 10,243.780002258718,RB
29,Top 20,215.1333352526029,RB
29,Top 30,159.5411778583246,RB
29,Top 5,298.7000024095178,RB
30,Bench,48.91574114595574,RB
30,Top 10,230.03333519647518,RB
30,Top 20,208.5000018168773,RB
30,Top 30,172.80000161007047,RB
30,Top 5,298.55000284686685,RB
31,Bench,47.25652213394642,RB
31,Top 20,179.70000175883374,RB
31,Top 30,151.72000131607055,RB
31,Top 5,267.70000176876783,RB
32,Bench,52.26666709825848,RB
32,Top 10,234.70000190287828,RB
32,Top 20,193.4000018388033,RB
32,Top 30,149.8000015169382,RB
32,Top 5,231.40000189840796,RB
33,Bench,40.384615742243255,RB
33,Top 20,201.60000190138817,RB
33,Top 30,175.5500014089048,RB
34,Bench,31.242857440241746,RB
34,Top 20,173.60000179708004,RB
34,Top 30,147.00000154972076,RB
35,Bench,76.0500007160008,RB
36,Bench,46.166667111217976,RB
37,Bench,100.20000110566616,RB
21,Bench,73.6923082250242,WR
21,Top 10,264.300001817445,WR
21,Top 20,211.0750014502555,WR
21,Top 30,192.95000142231584,WR
21,Top 5,304.6000021994114,WR
22,Bench,50.0848892463247,WR
22,Top 10,254.7333351224661,WR
22,Top 20,225.22333490128318,WR
22,Top 30,200.03077069268778,WR
22,Top 5,304.4416689084222,WR
23,Bench,44.413369883070494,WR
23,Top 10,273.2200019270182,WR
23,Top 20,225.8800016095241,WR
23,Top 30,196.49444581195712,WR
23,Top 5,296.66666878014803,WR
24,Bench,42.833855491138834,WR
